pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
132,85.0,0.0,78.0,0.0,7.0,0.0131455214323286,13.145521432328607,-1.0523582440266603,12.093163188301949,0.0120931631883019,12.619799740764751,-0.5266365524628025
133,85.0,0.0,90.0,0.0,5.0,0.0093896581659489,9.389658165948996,0.4862320722012563,9.875890238150252,0.0098758902381502,9.134078284344538,0.7418119538057137
134,85.0,0.0,94.0,0.0,9.0,0.0169013846987082,16.901384698708203,-0.6998228851923414,16.201561813515863,0.0162015618135158,16.446297319233587,-0.24473550571772407
135,85.0,0.0,98.0,0.0,13.0,0.0244131112314674,24.413111231467404,-0.0097144231441178,24.403396808323286,0.0244033968083232,23.87781539100186,0.5255814173214262
136,85.0,0.0,102.0,0.0,17.0,0.0319248377642266,31.9248377642266,0.491325461342586,32.416163225569186,0.0324161632255691,31.5761564088097,0.8400068167594839
137,85.0,0.0,106.0,0.0,21.0,0.0394365642969858,39.43656429698581,0.313825852200765,39.75039014918657,0.0397503901491865,39.34287099029815,0.4075191588884195
138,85.0,0.0,110.0,0.0,25.0,0.046948290829745,46.94829082974503,-1.3926858020946926,45.55560502765034,0.0455556050276503,46.566878120595504,-1.0112730929451672
139,85.0,0.0,114.0,0.0,29.0,0.0544600173625042,54.46001736250421,-1.1355494481386086,53.3244679143656,0.0533244679143656,53.92099059874552,-0.5965226843799201
140,85.0,0.0,118.0,0.0,33.0,0.0619717438952634,61.97174389526342,-0.7180834434361248,61.2536604518273,0.0612536604518273,61.28473422810376,-0.031073776276457465
141,105.0,0.0,2.0,0.0,103.0,0.1383049980980632,138.3049980980633,1.671754563355561,139.97675266141886,0.1399767526614188,138.44154769544159,1.5352049659772717
142,105.0,0.0,6.0,0.0,99.0,0.1330103226704042,133.01032267040418,-1.564587060064041,131.44573561034014,0.1314457356103401,133.31273289592747,-1.8669972855873311
143,105.0,0.0,10.0,0.0,95.0,0.1297692396095729,129.769239609573,-0.6165559532492731,129.15268365632372,0.1291526836563237,128.95748913428307,0.19519452204065146
144,105.0,0.0,14.0,0.0,91.0,0.1246875091200959,124.68750912009592,1.0441129565876095,125.73162207668354,0.1257316220766835,124.67487933256041,1.0567427441231274
145,105.0,0.0,18.0,0.0,87.0,0.1196333909595956,119.63339095959566,-1.0364544030264788,118.59693655656918,0.1185969365565691,120.08969403727853,-1.4927574807093578
146,105.0,0.0,22.0,0.0,83.0,0.1169791817970611,116.97918179706116,-0.8640713901928111,116.11511040686835,0.1161151104068683,116.43694951448008,-0.32183910761172285
147,105.0,0.0,26.0,0.0,79.0,0.1124220513582106,112.42205135821068,0.1431691575205018,112.56522051573118,0.1125652205157311,112.27718154462275,0.2880389711084348
148,105.0,0.0,30.0,0.0,75.0,0.1091085447093309,109.10854470933096,-0.4903382426731212,108.61820646665784,0.1086182064666578,109.39770413967801,-0.7794976730201739
149,105.0,0.0,34.0,0.0,71.0,0.1067006064157927,106.70060641579276,-0.4932051596750654,106.20740125611768,0.1062074012561176,108.82651303796408,-2.6191117818463994
150,105.0,0.0,38.0,0.0,67.0,0.1119308995860112,111.93089958601122,0.4833156254102539,112.41421521142148,0.1124142152114214,112.16922013946572,0.24499507195575632
151,105.0,0.0,42.0,0.0,63.0,0.1183096928909574,118.30969289095744,-1.0205247248007994,117.28916816615664,0.1172891681661566,114.2914762407381,2.997691925418536
152,105.0,0.0,46.0,0.0,59.0,0.1107979663581982,110.79796635819824,0.9291923221084176,111.72715868030666,0.1117271586803066,110.07183673099968,1.6553219493069804
153,105.0,0.0,50.0,0.0,55.0,0.103286239825439,103.28623982543904,-0.8212113515313372,102.46502847390772,0.1024650284739077,102.79628185479767,-0.3312533808899474
154,105.0,0.0,54.0,0.0,51.0,0.0957745132926797,95.77451329267976,0.8411604968052513,96.615673789485,0.096615673789485,95.19342959801766,1.4222441914673425
155,105.0,0.0,58.0,0.0,47.0,0.0882627867599206,88.2627867599206,-0.5798378728763767,87.68294888704422,0.0876829488870442,87.54565521834034,0.13729366870387594
156,105.0,0.0,62.0,0.0,43.0,0.0807510602271614,80.75106022716142,1.9340824308939184,82.68514265805534,0.0826851426580553,80.73497115500017,1.9501715030551736
157,105.0,0.0,66.0,0.0,39.0,0.0732393336944022,73.23933369440222,0.5533050988543364,73.79263879325656,0.0737926387932565,73.4241456028894,0.3684931903671611
158,105.0,0.0,70.0,0.0,35.0,0.065727607161643,65.727607161643,-0.6056008467125287,65.12200631493046,0.0651220063149304,65.4578893114322,-0.3358829965017378
159,105.0,0.0,74.0,0.0,31.0,0.0582158806288838,58.215880628883816,0.8815024577629151,59.09738308664673,0.0590973830866467,58.02491709625642,1.072465990390313
160,105.0,0.0,78.0,0.0,27.0,0.0507041540961246,50.70415409612461,-0.0407140433086647,50.66344005281594,0.0506634400528159,50.63771250411096,0.02572754870498528
161,105.0,0.0,82.0,0.0,23.0,0.0431924275633654,43.192427563365406,-2.090532565055007,41.1018949983104,0.0411018949983104,42.937840867515206,-1.8359458692048065
162,105.0,0.0,86.0,0.0,19.0,0.0356807010306062,35.680701030606215,0.156129551390414,35.83683058199663,0.0358368305819966,35.58523776466837,0.2515928173282589
163,105.0,0.0,90.0,0.0,15.0,0.028168974497847,28.168974497847007,0.5691838769895351,28.73815837483654,0.0287381583748365,28.207077603120027,0.531080771716514
